2,452,91,4,4,0.355469
2,455,406,4,8,0.468506
3,438,617,7,16,0.572754
0,622,0,11,6,0.58252
2,454,568,4,7,0.595215
3,452,90,4,8,0.662109
0,559,151,12,10,0.75
3,455,406,4,11,0.750488
3,453,569,5,14,0.772949
0,561,163,14,11,0.802246
0,556,140,17,10,0.806641
0,633,51,5,17,0.815918
1,254,368,18,53,0.816895
0,569,226,28,13,0.84375
0,555,107,24,11,0.845215
0,575,239,27,13,0.852539
0,620,50,12,17,0.854492
0,616,95,12,20,0.85791
0,553,118,25,13,0.860352
0,581,46,11,21,0.864746
0,460,141,10,19,0.868652
0,438,334,15,28,0.871094
0,574,297,30,16,0.875977
0,437,535,15,32,0.888672
0,423,201,10,21,0.889648
0,565,316,25,22,0.894531
0,583,489,32,27,0.90332
0,213,551,34,17,0.905762
0,213,592,36,15,0.909668
0,462,465,15,34,0.911133
0,543,65,26,14,0.921875
1,205,523,40,21,0.922363
