0,1320,645,31,17
0,1311,633,35,13
0,1309,619,27,13
0,1297,602,40,17
0,1288,588,33,20
0,1286,588,36,10
0,1286,575,24,12
0,1277,561,25,12
0,1283,552,26,15
0,1284,545,19,7
0,1259,727,24,34
0,1221,676,21,26
0,1153,539,22,23
0,1134,503,12,19
0,1122,485,15,15
0,1110,410,12,15
0,1079,415,15,9
0,1074,399,13,12
0,1005,274,15,8
0,1084,222,12,10
0,1052,175,13,9
0,1053,165,13,8
0,1135,121,10,9
1,1139,578,49,22
1,1192,622,44,39
3,1263,645,10,10
3,1053,309,4,8
3,1046,297,8,6
3,1415,658,9,10
3,1427,658,6,11
3,1435,661,8,10
3,1445,659,7,11
3,1459,660,10,12
3,1465,657,10,12
3,1474,660,7,14
3,1480,660,6,11
3,1491,659,4,11
3,1506,661,4,14
3,1512,661,4,9
3,1531,658,4,11
3,1548,659,6,9
3,1568,656,3,15
3,1572,660,8,11
0,1795,934,37,47
0,1697,801,25,24
0,1727,790,32,32
0,1746,783,23,27
0,1755,777,43,30
0,1786,767,49,42
3,1518,671,13,7
3,1536,672,11,7
3,1549,672,10,12
1,476,1013,65,32
0,473,1034,62,31
3,877,1029,8,20
3,884,1026,7,21
3,894,1027,7,23
